Order_id,Date,Product,Category,Units_Sold,Price,Revenue,Discount,Units_Returned,Location,Platform,Return_flag
266,16-03-2020,BCAA,Amino Acid,151,48.77,7364.27,0.07,1,UK,Amazon,1
267,16-03-2020,Creatine,Performance,142,41.48,5890.16,0.01,2,Canada,Amazon,1
268,16-03-2020,Zinc,Mineral,143,35.56,5085.08,0.01,1,USA,Amazon,1
269,16-03-2020,Collagen Peptides,Protein,158,51.97,8211.26,0,1,Canada,iHerb,1
270,16-03-2020,Magnesium,Mineral,159,15.09,2399.31,0.09,1,Canada,iHerb,1
271,16-03-2020,Ashwagandha,Herbal,164,49.45,8109.8,0.22,1,Canada,iHerb,1
272,16-03-2020,Melatonin,Sleep Aid,170,58.2,9894,0.02,2,Canada,Amazon,1
273,16-03-2020,Biotin,Vitamin,150,41.64,6246,0.18,0,UK,iHerb,0
274,16-03-2020,Green Tea Extract,Fat Burner,136,43.32,5891.52,0.24,2,UK,Walmart,1
275,16-03-2020,Iron Supplement,Mineral,178,24.9,4432.2,0.03,3,UK,iHerb,1
276,16-03-2020,Electrolyte Powder,Hydration,155,28,4340,0.24,1,USA,Amazon,1
277,23-03-2020,Whey Protein,Protein,148,20.44,3025.12,0.09,1,UK,Walmart,1
278,23-03-2020,Vitamin C,Vitamin,147,52.52,7720.44,0.05,2,Canada,Amazon,1
279,23-03-2020,Fish Oil,Omega,149,20.79,3097.71,0.17,2,Canada,iHerb,1
280,23-03-2020,Multivitamin,Vitamin,142,42.58,6046.36,0.18,1,Canada,Amazon,1
281,23-03-2020,Pre-Workout,Performance,155,45.66,7077.3,0.05,3,Canada,Walmart,1
282,23-03-2020,BCAA,Amino Acid,142,12.9,1831.8,0.03,1,UK,Walmart,1
283,23-03-2020,Creatine,Performance,141,10.73,1512.93,0.09,1,UK,iHerb,1
284,23-03-2020,Zinc,Mineral,147,30.21,4440.87,0.13,2,UK,Amazon,1
285,23-03-2020,Collagen Peptides,Protein,156,48.7,7597.2,0.19,1,Canada,Amazon,1
286,23-03-2020,Magnesium,Mineral,162,23.28,3771.36,0,1,UK,iHerb,1
287,23-03-2020,Ashwagandha,Herbal,160,27.4,4384,0.09,0,USA,Amazon,0
288,23-03-2020,Melatonin,Sleep Aid,143,58.71,8395.53,0.21,0,Canada,iHerb,0
289,23-03-2020,Biotin,Vitamin,168,49.02,8235.36,0.11,1,USA,Amazon,1
290,23-03-2020,Green Tea Extract,Fat Burner,143,21.41,3061.63,0.06,1,Canada,Amazon,1
291,23-03-2020,Iron Supplement,Mineral,159,12.89,2049.51,0.24,4,USA,Amazon,1
292,23-03-2020,Electrolyte Powder,Hydration,151,13.78,2080.78,0.09,1,UK,Amazon,1
293,30-03-2020,Whey Protein,Protein,138,41.12,5674.56,0.2,1,Canada,iHerb,1
294,30-03-2020,Vitamin C,Vitamin,135,41.8,5643,0.1,2,Canada,Amazon,1
295,30-03-2020,Fish Oil,Omega,141,55.87,7877.67,0.07,1,USA,Amazon,1
296,30-03-2020,Multivitamin,Vitamin,168,13.11,2202.48,0.04,0,UK,Amazon,0
297,30-03-2020,Pre-Workout,Performance,155,16.71,2590.05,0.24,1,USA,Amazon,1
298,30-03-2020,BCAA,Amino Acid,140,43.98,6157.2,0.02,1,UK,Walmart,1
299,30-03-2020,Creatine,Performance,162,37.33,6047.46,0.11,0,USA,Amazon,0
300,30-03-2020,Zinc,Mineral,136,20.46,2782.56,0.01,2,USA,Amazon,1
301,30-03-2020,Collagen Peptides,Protein,165,58.03,9574.95,0.05,4,Canada,iHerb,1
302,30-03-2020,Magnesium,Mineral,141,39.68,5594.88,0.02,2,UK,iHerb,1
303,30-03-2020,Ashwagandha,Herbal,160,33.85,5416,0.18,1,USA,Walmart,1
304,30-03-2020,Melatonin,Sleep Aid,155,18.13,2810.15,0.14,2,UK,iHerb,1
305,30-03-2020,Biotin,Vitamin,150,10.45,1567.5,0.09,3,UK,Amazon,1
306,30-03-2020,Green Tea Extract,Fat Burner,140,21.1,2954,0.08,3,USA,iHerb,1
307,30-03-2020,Iron Supplement,Mineral,158,31.44,4967.52,0.01,1,UK,iHerb,1
308,30-03-2020,Electrolyte Powder,Hydration,156,24.44,3812.64,0.1,3,USA,Amazon,1
309,06-04-2020,Whey Protein,Protein,160,29.62,4739.2,0.19,3,UK,iHerb,1
310,06-04-2020,Vitamin C,Vitamin,178,27.86,4959.08,0.2,1,UK,Walmart,1
311,06-04-2020,Fish Oil,Omega,152,42.83,6510.16,0.06,0,USA,Amazon,0
312,06-04-2020,Multivitamin,Vitamin,171,35.3,6036.3,0.06,0,USA,Amazon,0
313,06-04-2020,Pre-Workout,Performance,116,53.34,6187.44,0.07,3,UK,Walmart,1
314,06-04-2020,BCAA,Amino Acid,153,39,5967,0.13,2,USA,Walmart,1
315,06-04-2020,Creatine,Performance,142,54.7,7767.4,0.24,3,USA,Walmart,1
316,06-04-2020,Zinc,Mineral,147,33.82,4971.54,0.12,0,Canada,Amazon,0
317,06-04-2020,Collagen Peptides,Protein,153,26.58,4066.74,0.21,0,Canada,iHerb,0
318,06-04-2020,Magnesium,Mineral,127,57.04,7244.08,0.13,1,Canada,iHerb,1
319,06-04-2020,Ashwagandha,Herbal,162,26.61,4310.82,0.17,2,Canada,Amazon,1
320,06-04-2020,Melatonin,Sleep Aid,156,53.79,8391.24,0.13,1,USA,iHerb,1
321,06-04-2020,Biotin,Vitamin,147,16.39,2409.33,0.19,0,UK,Amazon,0
322,06-04-2020,Green Tea Extract,Fat Burner,147,12.73,1871.31,0.24,0,UK,Walmart,0
323,06-04-2020,Iron Supplement,Mineral,143,21.52,3077.36,0,2,USA,Amazon,1
324,06-04-2020,Electrolyte Powder,Hydration,185,43.15,7982.75,0.19,3,UK,iHerb,1
325,13-04-2020,Whey Protein,Protein,147,26.26,3860.22,0.18,2,Canada,Walmart,1
326,13-04-2020,Vitamin C,Vitamin,137,55.1,7548.7,0.2,4,USA,Walmart,1
327,13-04-2020,Fish Oil,Omega,160,39.53,6324.8,0.17,0,USA,iHerb,0
328,13-04-2020,Multivitamin,Vitamin,151,18.37,2773.87,0.2,2,USA,Amazon,1
329,13-04-2020,Pre-Workout,Performance,178,23.27,4142.06,0.15,1,USA,Amazon,1
330,13-04-2020,BCAA,Amino Acid,158,15.13,2390.54,0.13,1,Canada,iHerb,1
331,13-04-2020,Creatine,Performance,145,51.38,7450.1,0.17,2,UK,Walmart,1
332,13-04-2020,Zinc,Mineral,149,44.73,6664.77,0.18,3,Canada,Amazon,1
333,13-04-2020,Collagen Peptides,Protein,142,19.76,2805.92,0.09,1,USA,Amazon,1
334,13-04-2020,Magnesium,Mineral,157,38.1,5981.7,0.24,1,UK,iHerb,1
335,13-04-2020,Ashwagandha,Herbal,146,49.31,7199.26,0.18,1,Canada,iHerb,1
336,13-04-2020,Melatonin,Sleep Aid,140,50.86,7120.4,0.14,4,Canada,Walmart,1
337,13-04-2020,Biotin,Vitamin,123,45.92,5648.16,0.22,0,UK,Amazon,0
338,13-04-2020,Green Tea Extract,Fat Burner,162,29.83,4832.46,0.03,3,USA,Amazon,1
339,13-04-2020,Iron Supplement,Mineral,136,24.5,3332,0.22,2,Canada,Walmart,1
340,13-04-2020,Electrolyte Powder,Hydration,162,41.24,6680.88,0.14,3,USA,Walmart,1
341,20-04-2020,Whey Protein,Protein,169,43.7,7385.3,0.01,2,USA,Walmart,1
342,20-04-2020,Vitamin C,Vitamin,142,27.65,3926.3,0.16,1,Canada,iHerb,1
343,20-04-2020,Fish Oil,Omega,159,13.42,2133.78,0.2,1,UK,iHerb,1
344,20-04-2020,Multivitamin,Vitamin,148,26.62,3939.76,0.01,1,USA,Amazon,1
345,20-04-2020,Pre-Workout,Performance,176,43.57,7668.32,0.16,1,USA,Walmart,1
346,20-04-2020,BCAA,Amino Acid,147,15.07,2215.29,0.07,1,USA,iHerb,1
347,20-04-2020,Creatine,Performance,148,13.38,1980.24,0.13,0,Canada,Walmart,0
348,20-04-2020,Zinc,Mineral,188,30.18,5673.84,0.18,2,USA,iHerb,1
349,20-04-2020,Collagen Peptides,Protein,147,29.88,4392.36,0.07,0,USA,iHerb,0
350,20-04-2020,Magnesium,Mineral,149,24.37,3631.13,0.16,4,USA,Amazon,1
351,20-04-2020,Ashwagandha,Herbal,154,13.78,2122.12,0.24,1,Canada,Amazon,1
352,20-04-2020,Melatonin,Sleep Aid,130,41.18,5353.4,0.16,0,USA,Amazon,0
353,20-04-2020,Biotin,Vitamin,141,45.33,6391.53,0.15,1,UK,Amazon,1
354,20-04-2020,Green Tea Extract,Fat Burner,141,53.3,7515.3,0.24,0,UK,Amazon,0
355,20-04-2020,Iron Supplement,Mineral,159,20.13,3200.67,0.15,2,USA,iHerb,1
356,20-04-2020,Electrolyte Powder,Hydration,157,10.77,1690.89,0.15,1,UK,Amazon,1
357,27-04-2020,Whey Protein,Protein,148,29.95,4432.6,0.21,0,USA,Amazon,0
358,27-04-2020,Vitamin C,Vitamin,131,31.68,4150.08,0.02,2,USA,iHerb,1
359,27-04-2020,Fish Oil,Omega,170,22.94,3899.8,0.11,2,Canada,iHerb,1
360,27-04-2020,Multivitamin,Vitamin,154,22.1,3403.4,0.18,0,USA,Walmart,0
361,27-04-2020,Pre-Workout,Performance,138,46.94,6477.72,0,0,UK,Walmart,0
362,27-04-2020,BCAA,Amino Acid,139,22.38,3110.82,0.02,1,USA,Walmart,1
363,27-04-2020,Creatine,Performance,159,43.64,6938.76,0.02,4,Canada,Amazon,1
364,27-04-2020,Zinc,Mineral,164,51.15,8388.6,0.23,2,USA,iHerb,1
365,27-04-2020,Collagen Peptides,Protein,138,47.14,6505.32,0.18,1,UK,iHerb,1
366,27-04-2020,Magnesium,Mineral,127,56.04,7117.08,0.15,1,Canada,Walmart,1
367,27-04-2020,Ashwagandha,Herbal,141,54.77,7722.57,0.17,2,UK,Walmart,1
368,27-04-2020,Melatonin,Sleep Aid,148,22.42,3318.16,0.18,1,Canada,Walmart,1
369,27-04-2020,Biotin,Vitamin,148,56.81,8407.88,0.02,3,UK,Walmart,1
370,27-04-2020,Green Tea Extract,Fat Burner,142,11.1,1576.2,0.08,1,Canada,iHerb,1
371,27-04-2020,Iron Supplement,Mineral,124,56.36,6988.64,0.03,2,Canada,Walmart,1
372,27-04-2020,Electrolyte Powder,Hydration,147,23.01,3382.47,0.04,0,Canada,iHerb,0
373,04-05-2020,Whey Protein,Protein,127,43.21,5487.67,0.22,2,Canada,iHerb,1
374,04-05-2020,Vitamin C,Vitamin,157,24.46,3840.22,0.08,1,UK,iHerb,1
375,04-05-2020,Fish Oil,Omega,150,27.84,4176,0.09,3,Canada,iHerb,1
376,04-05-2020,Multivitamin,Vitamin,161,55.69,8966.09,0.24,1,UK,Walmart,1
377,04-05-2020,Pre-Workout,Performance,145,57.06,8273.7,0.22,0,Canada,iHerb,0
378,04-05-2020,BCAA,Amino Acid,146,35.16,5133.36,0.05,3,Canada,iHerb,1
379,04-05-2020,Creatine,Performance,156,52.94,8258.64,0.19,1,Canada,Amazon,1
380,04-05-2020,Zinc,Mineral,154,43.68,6726.72,0.04,2,Canada,iHerb,1
381,04-05-2020,Collagen Peptides,Protein,140,18.26,2556.4,0,2,UK,iHerb,1
382,04-05-2020,Magnesium,Mineral,159,18.07,2873.13,0.02,0,UK,iHerb,0
383,04-05-2020,Ashwagandha,Herbal,140,15.27,2137.8,0.06,1,UK,Walmart,1
384,04-05-2020,Melatonin,Sleep Aid,154,12.89,1985.06,0.1,1,Canada,iHerb,1
385,04-05-2020,Biotin,Vitamin,154,30.79,4741.66,0.11,1,USA,Amazon,1
386,04-05-2020,Green Tea Extract,Fat Burner,157,18.58,2917.06,0.13,1,USA,iHerb,1
